"STUDYID","DOMAIN","IETESTCD","IETEST","IECAT"
"","TI","","",""
"EPQAC","TI","INCL01","resident in the project area","INCLUSION"
"EPQAC","TI","INCL02","Children aged between 3-59 months","INCLUSION"
"EPQAC","TI","INCL03","Afebrile with no other malaria associated symptoms in the past 48 hours or at time of recruitment","INCLUSION"
"EPQAC","TI","INCL04","caregivers willing to comply with the full study protocol","INCLUSION"
"EPQAC","TI","INCL05","provided written informed consent ","INCLUSION"
"EPQAC","TI","INCL06","Can comply with 3 days DOT of standard SPAQ or DP regimen (day 0-2) (PROTOCOL)","INCLUSION"
"EPQAC","TI","EXCL01","Children with known allergies","EXCLUSION"
"EPQAC","TI","EXCL02","recent receipt of antimalarial drugs","EXCLUSION"
"EPQAC","TI","EXCL03","severe malnutrition","EXCLUSION"
"EPQAC","TI","EXCL04","HIV positivity","EXCLUSION"
"EPQAC","TI","EXCL05","inclusion in other studies","EXCLUSION"
"EPQAC","TI","EXCL06","Symptoms of malaria (tympanic fever >=37.5 C or history of fever in past 48 hours) (PROTOCOL)","EXCLUSION"
"EPQAC","TI","EXCL07","Receiving a sulfa-based medication for treatment or prophylaxis, including co-trimoxazole (trimethoprim-sulfamethoxazole) (PROTOCOL)","EXCLUSION"
"EPQAC","TI","EXCL08","Individuals receiving azithromycin due to the antimalarial activity of azithromycin (PROTOCOL)","EXCLUSION"
"EPQAC","TI","EXCL09","Treatment of uncomplicated malaria with DP in the past 28 days (PROTOCOL)","EXCLUSION"
"EPQAC","TI","EXCL10","HIV positive or ARV use (SPAQ MUST NEVER be used with children taking theantiretroviral efavirenz) (PROTOCOL)","EXCLUSION"
"EPQAC","TI","EXCL11","Chronic illness of any kind (PROTOCOL)","EXCLUSION"
"EPQAC","TI","EXCL12","Treatment with an ACT in previous 2 weeks (PROTOCOL)","EXCLUSION"
"JWJEF","TI","INCL01","Children aged 3-59 months at the time of sampling (1-2 weeks before the first cycle of SPAQ administration)","INCLUSION"
"JWJEF","TI","INCL02","Residents of the intervention or control districts","INCLUSION"
"JWJEF","TI","EXCL01","Visiting (non-resident) children at enrolment","EXCLUSION"
"JWJEF","TI","EXCL02","Sick at enrolment","EXCLUSION"
"JWJEF","TI","EXCL03","Tested positive for malaria at enrolment","EXCLUSION"
"JWJEF","TI","EXCL04","Children below 3 months or above 59 months of age","EXCLUSION"
"JWJEF","TI","EXCL05","Acute febrile illness or severely ill and unable to take oral medication","EXCLUSION"
"JWJEF","TI","EXCL06","Receiving cotrimoxazole prophylaxis","EXCLUSION"
"JWJEF","TI","EXCL07","Allergy to any sulpha-containing drug (eg, cotrimoxazole, bactrim, SP, AQ)","EXCLUSION"
"SPSNX","TI","INCL01","Children between 3-59 months","INCLUSION"
"SPSNX","TI","INCL02","Being resident in the project area","INCLUSION"
"SPSNX","TI","INCL03","Afebrile with no other malaria associated symptoms in the past 48 hours or at time of recruitment","INCLUSION"
"SPSNX","TI","INCL04","Consent to participant in the study obtained","INCLUSION"
"SPSNX","TI","INCL05","Can comply with 3 days of drug of treatment of standard SPAQ or DHAPPQ regimen","INCLUSION"
"SPSNX","TI","INCL06","Willingness and ability of the child's guardians to comply with the study protocol for the duration of the study including all dry blood spot and slide collections","INCLUSION"
"SPSNX","TI","EXCL01","Symptoms of malaria (tympanic fever >37.5C or history of fever in past 48 hours)","EXCLUSION"
"SPSNX","TI","EXCL02","Known allergy to medicine provided","EXCLUSION"
"SPSNX","TI","EXCL03","Receiving a sulfa-based medication for treatment or prophylaxis including co-trimoxazole","EXCLUSION"
"SPSNX","TI","EXCL04","Individuals receiving azithromycin due to antimalarial activity","EXCLUSION"
"SPSNX","TI","EXCL05","Severe malnutrition according to WHO guidelines","EXCLUSION"
"SPSNX","TI","EXCL06","Treatment of uncomplicated malaria with DHAPPQ in the past 28 days","EXCLUSION"
"SPSNX","TI","EXCL07","HIV positive or ARV use","EXCLUSION"
"SPSNX","TI","EXCL08","Chronic illness of any kind","EXCLUSION"
"SPSNX","TI","EXCL09","Recruited in cRCT or any other studies","EXCLUSION"
"SPSNX","TI","EXCL10","Treatment with and ACT in previous 2 weeks","EXCLUSION"
