"STUDYID","DOMAIN","TSSEQ","TSGRPID","TSPARMCD","TSPARM","TSVAL","TSVALNF","TSVALCD","TSVCDREF","TSVCDVER"
"EPQAC","TS","1","","ACTSUB","Actual Number of Subjects","1250","","","",""
"EPQAC","TS","1","","SEXPOP","Sex of Participants","BOTH","","C49636","CDISC","2019-06-28"
"EPQAC","TS","1","","AGEMAX","Planned Maximum Age of Subjects","P59M","","","ISO 8601",""
"EPQAC","TS","1","","AGEMIN","Planned Minimum Age of Subjects","P3M","","","ISO 8601",""
"EPQAC","TS","1","","HLTSUBJI","Healthy Subject Indicator","N","","C49487","CDISC","2022-12-17"
"EPQAC","TS","1","","TDIGRP","Diagnosis Group","Malaria","","61462000","SNOMED","2019-03-01"
"EPQAC","TS","1","","INDIC","Trial Disease/Condition Indication","Malaria","","61462000","SNOMED","2018-09-01"
"EPQAC","TS","1","","AEMETHD","Adverse Event Method Description","Parents or guardians were encouraged to bring children to the clinic for any illness during the 28 day follow-up. Treatment of uncomplicated malaria was with oral artemether-lumefantrine (AL) and severe malaria was with parenteral or rectal artesunate followed by AL","","","",""
"EPQAC","TS","1","SP-AQ","ARMDESC","Arm Description","A single oral dose of sulfadoxinepyrimethamine (SP: infants 250/12.5mg; older children 500/25mg) was given, and amodiaquine (AQ: Infants: 75mg, older children 1-5 years: 150 mg) was given once daily for three days.","","","",""
"EPQAC","TS","2","DHA-PPQ","ARMDESC","Arm Description","In the third village children were randomized 2:1 to receive either DP or no drug. DP (D-ARTEPP � dispersible tablets, Fosun Pharma; 20mg dihydroartemisinin/160mg piperaquine) was given according to the WHO recommended weightbased dosing regimen.","","","",""
"EPQAC","TS","3","PER CLIN GUIDE","ARMDESC","Arm Description","In the third village children were randomized 2:1 to receive either DP or no drug.","","","",""
"EPQAC","TS","1","PER CLIN GUIDE","COMPTRT","Comparative Treatment Name","","NA","","",""
"EPQAC","TS","1","","CURTRT","Current Therapy or Treatment","","NA","","",""
"EPQAC","TS","1","SP-AQ_SULFADOXINE","TRT","Investigational Therapy or Treatment","SULFADOXINE","","88463U4SM5","UNII",""
"EPQAC","TS","2","SP-AQ_PYRIMETHAMINE","TRT","Investigational Therapy or Treatment","PYRIMETHAMINE","","Z3614QOX8W","UNII",""
"EPQAC","TS","3","SP-AQ_AMODIAQUINE","TRT","Investigational Therapy or Treatment","AMODIAQUINE","","220236ED28","UNII",""
"EPQAC","TS","4","DHA-PPQ_ARTENIMOL","TRT","Investigational Therapy or Treatment","ARTENIMOL","","6A9O50735X","UNII",""
"EPQAC","TS","5","DHA-PPQ_PIPERAQUINE","TRT","Investigational Therapy or Treatment","PIPERAQUINE","","A0HV2Q956Y","UNII",""
"EPQAC","TS","1","SP-AQ_SULFADOXINE","TTRGDOSE","Total Target Dose Mg/Kg","","UNK","","",""
